index,text,tags,sub_tags,ground_truth,paper link,data_source
0,Central Intelligence Agency was responsible for the assassination of President John F. Kennedy.,Conspiracy,Political,NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
1,The 1996 crash of TWA flight 800 was caused by a U.S. military missile.,Conspiracy,Political,NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
2,Plane crash that killed Democrat Paul Wellstone was engineered by Republican politicians.,Conspiracy,Political,NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
3,"Martin Luther King, Jr., was killed by federal agents.",Conspiracy,Political,NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
4,The Trilateral Commission is responsible for important movements of the international economy.,Conspiracy,Political,NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
5,Global warming is a deliberate fraud.,Conspiracy,"Environment, Science",NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
6,Doctors deliberately manufactured the AIDS virus as the product of a biowarfare program targeting gay people.,Conspiracy,"Medicine, Science",NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
14,Climate change is neither occurring nor likely to occur.,Conspiracy,"Environment, Science",NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
17,"Pentagon explosion on 9/11 was caused by a missile, fired as the opening salvo of a coup d’etat by the military-industrial complex, rather than by American Airlines Flight 77.",Conspiracy,"9/11, Political",NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
19,9/11 was purely a plane accident.,Conspiracy,"9/11, Political",NO,https://chicagounbound.uchicago.edu/law_and_economics/119/,CT papers
23,Climate change is a hoax perpetrated by the Chinese.,Conspiracy,"Environment, Regional, Science",NO,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers
24,Vaccines cause autism.,Conspiracy,"Medicine, Science",NO,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers
25,Contraceptives are a form of Black genocide. They are intended to eradicate Black people.,Conspiracy,Racial,NO,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers
26,"HIV was deliberately created by humans in the laboratory, and the pharmaceutical industry promotes the HIV hypothesis to sell expensive yet harmful antiretroviral drugs.",Conspiracy,"Medicine, Science",NO,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers
28,Nero and his loyal servants deliberately had ignited the great fire of Rome in the year 64 AD.,Conspiracy,Political,NO,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers
30,Modern technology is a form of sorcery designed by hostile Western plots to harm or control others.,Conspiracy,"Regional, Science",NO,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6282974/,CT papers
31,Testing for COVID-19 is a means to inserting microchips into our brain.,Conspiracy,"Covid19, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
33,COVID-19 is a biological weapon intended to eliminate the overcrowded human population.,Conspiracy,"Covid19, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
34,"COVID-19 (coronavirus) is only a fabrication, it is an ordinary flu that pharmaceutical companies rebranded to increase the sales of drugs.",Conspiracy,"Company / Pharmacy / Organization, Covid19",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
35,The Chinese government already has the cure for COVID-19 (coronavirus) but they are keeping it secret.,Conspiracy,"Covid19, Political, Regional, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
36,The state took all the face masks and respirators so that it could give them away to the select few.,Conspiracy,"Covid19, Political, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
37,The USA is using the SARS-CoV-2 (coronavirus) to settle its conflicts with China.,Conspiracy,"Covid19, Political, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
